Area_Sanitaria,Genero,Personas_Infectadas,Porcentaje
"GALICIA","HOMES","53.491","46,65%"
"GALICIA","MULLERES","61.171","53,35%"

"A.S. A CORUÑA E CEE","HOMES","12.651","46,87%"
"A.S. A CORUÑA E CEE","MULLERES","14.341","53,13%"
"A.S. FERROL","HOMES","3.721","45,74%"
"A.S. FERROL","MULLERES","4.415","54,26%"
"A.S. LUGO, A MARIÑA E MONFORTE","HOMES","5.656","46,74%"
"A.S. LUGO, A MARIÑA E MONFORTE","MULLERES","6.446","53,26%"
"A.S. OURENSE, VERÍN E O BARCO","HOMES","6.431","46,17%"
"A.S. OURENSE, VERÍN E O BARCO","MULLERES","7.499","53,83%"
"A.S. PONTEVEDRA E O SALNÉS","HOMES","6.059","47,12%"
"A.S. PONTEVEDRA E O SALNÉS","MULLERES","6.801","52,88%"
"A.S. SANTIAGO E BARBANZA","HOMES","7.969","47,18%"
"A.S. SANTIAGO E BARBANZA","MULLERES","8.922","52,82%"
"A.S. VIGO","HOMES","11.004","46,33%"
"A.S. VIGO","MULLERES","12.747","53,67%"
